idALEC;V1;V2;V3;V4;V5;V6
T3;0;1;0;0;0;0
T4;0;1;0;0;0;0
T40;0;1;0;0;0;0
T41;0;0;0;0;0;0
T42;0;0;1;0;0;0
T43;0;1;0;0;0;0
T44;0;1;0;0;0;0
T5;0;1;0;0;0;0
T50;0;1;0;0;0;0
T6;0;0;1;0;0;0
T60;1;0;0;0;0;0
V2;1;1;1;0;0;0
V20;0;0;1;0;0;0
V21;0;1;0;0;0;0
V3;0;0;1;0;0;0
V4;0;1;0;0;0;0
V40;0;0;1;0;0;0
V41;1;1;0;0;0;0
V42;0;0;1;0;0;0
V5;0;1;1;0;0;0
V6;1;1;0;0;0;0
V60;0;0;1;0;0;0
V61;0;0;1;0;0;0
V62;0;1;0;0;0;0
V63;0;1;1;0;0;0
