idALEC;V1;V2;V3;V4;V5;V6;;;
NS5;1;0;1;0;0;0;;;
NS6;1;0;0;0;0;0;;;
NS60;1;0;0;0;0;0;;;
NS61;0;0;0;0;0;1;;;
NS62;1;0;0;0;0;0;;;
NS63;1;0;0;0;0;0;;;
P1;0;0;0;1;0;0;;;
Q1;1;0;0;0;0;0;;;
R1;1;0;0;0;0;0;;;
R3;1;0;0;0;0;0;;;
R6;1;1;0;0;0;0;;;
S1;1;0;1;0;0;0;;;
S10;0;0;0;0;0;1;;;
S11;1;0;0;0;0;0;;;
S2;1;0;0;0;0;0;;;
S3;1;0;0;0;0;0;;;
S4;1;0;0;0;0;1;;;
S40;1;0;0;0;0;0;;;
S41;1;0;0;0;0;0;;;
S42;0;0;1;0;0;0;;;
S43;1;0;0;0;0;0;;;
S44;1;0;0;0;0;0;;;
S45;1;0;0;0;0;0;;;
S5;0;0;1;0;0;0;;;
S50;0;0;0;0;0;1;;;
S51;1;0;0;0;0;0;;;
S52;1;0;0;0;0;0;;;
S6;0;0;1;0;0;0;;;
S60;1;0;0;0;0;0;;;
S61;1;0;1;0;0;0;;;
Su1;0;1;0;0;0;0;;;
Su10;0;0;0;1;0;0;;;
Su2;0;0;0;1;0;0;;;
Su3;1;0;0;0;0;0;;;
Su4;0;0;0;1;0;0;;;
Su6;0;0;0;0;0;0;;;
T2;1;0;0;0;0;0;;;
T20;1;0;0;1;0;0;;;
T21;0;1;0;0;0;0;;;
T22;0;0;0;0;0;0;;;
T23;1;0;0;1;0;0;;;
T3;0;1;0;0;0;0;;;
T4;0;0;0;1;0;0;;;
T40;0;1;0;0;0;0;;;
T41;0;1;0;0;0;0;;;
T42;1;1;0;0;0;0;;;
T43;1;0;0;0;0;0;;;
T44;0;0;1;0;0;0;;;
T5;1;0;0;0;0;0;;;
T50;1;0;0;0;0;0;;;
T6;0;0;1;0;0;0;;;
T60;1;0;0;0;0;0;;;
V2;1;0;0;0;0;0;;;
V20;1;0;0;0;0;0;;;
V21;0;1;0;0;0;0;;;
V3;0;1;0;0;0;0;;;
V4;1;0;0;0;0;0;;;
V40;0;0;0;1;0;0;;;
V41;0;0;0;0;0;0;;;
V42;0;0;0;1;0;0;;;
V5;0;0;1;0;0;0;;;
V6;0;0;1;0;0;0;;;
V60;1;0;0;0;0;0;;;
V61;0;1;0;0;0;0;;;
V62;1;0;0;0;0;0;;;
V63;1;0;0;0;0;0;;;
