idALEC;V1;V2;V3;V4;V5;V6;V7
Su10;0;0;0;1;0;0;0
Su2;0;0;0;1;0;0;0
Su3;0;1;1;1;0;1;0
Su4;0;0;0;1;0;1;0
Su6;0;1;0;0;0;1;0
T2;1;0;0;1;0;0;0
T20;1;0;0;1;0;0;0
T21;1;0;0;1;0;0;0
T22;0;1;0;1;0;0;0
T23;1;0;1;1;0;0;0
T3;1;0;1;1;0;0;0
T4;1;0;0;1;0;0;0
T40;0;0;0;1;0;0;0
T41;0;0;1;1;0;0;0
T42;0;0;1;1;0;0;0
T43;0;0;1;0;0;0;0
T44;1;1;1;0;0;0;0
T5;0;0;1;1;0;0;0
T50;0;0;0;1;0;0;0
T6;0;0;0;1;0;1;0
T60;0;0;0;1;0;1;0
V2;1;0;0;1;0;0;0
V20;1;0;0;1;0;0;0
V21;1;0;0;0;0;0;0
V3;0;0;0;1;0;0;0
V4;0;0;0;1;0;1;0
V40;0;0;0;1;0;0;0
V41;0;0;0;1;0;0;0
V42;0;0;1;1;0;0;0
V5;0;0;0;1;0;0;0
V6;0;0;1;0;0;0;0
V60;0;0;0;1;0;0;0
V61;1;0;0;0;0;0;0
V62;0;0;0;1;0;1;0
V63;1;0;0;0;0;0;0
